Data_Hora;LBA10CP001;LBA10CP951A;LBA10CF001A;LBA10CF001B;LAB60CT002;LAB60CT003;LBA10CF901;JEA10CL901;LAB60CF901;LAB60CF001A;LAB60CF001B
27/07/2022 14:48;66.88944;67.05804;454.90479;455.96057;211.46114;211.79779;445.8780203;12.23077;1.636854405;1.55925;1.67846
27/07/2022 14:54;65.9955;66.12559;461.41156;462.66129;212.31709;212.60878;448.8152767;12.21833;1.719591608;1.55925;1.84381
27/07/2022 15:00;66.60303;66.74722;461.92795;463.33655;212.44548;212.7155;451.7693883;12.22642;1.438309047;1.55925;1.28731
27/07/2022 15:06;66.19512;66.33279;462.08286;463.64822;212.44548;212.7155;450.4063685;12.22269;1.341864671;1.55925;1.09642
27/07/2022 15:12;66.42945;66.55296;464.92313;465.88177;212.70226;213.01428;453.7583667;12.22393;1.161380165;1.50728;0.79154
27/07/2022 15:18;65.61362;65.72412;469.26099;470.24506;212.80927;213.09966;454.7784549;12.23139;1.433381908;1.2474;1.59009
27/07/2022 15:24;65.54419;65.68527;466.05923;467.18039;212.74506;213.01428;451.5351082;12.22642;1.259602404;1.4553;1.03801
27/07/2022 15:30;66.22115;66.37165;470.13885;471.07614;212.76645;213.05698;458.0672674;12.209;1.277440747;1.50728;1.02138
27/07/2022 15:36;66.03021;66.20329;469.98395;470.7645;212.89485;213.18501;457.134959;12.209;1.348011228;1.50728;1.16129
27/07/2022 15:42;66.19512;66.3587;469.98395;470.86838;212.98045;213.31306;457.8142311;12.20216;1.376625196;1.50728;1.21811
27/07/2022 15:48;65.73513;65.89248;469.00275;470.19312;212.93765;213.22771;455.1949826;12.21771;1.704367687;1.50728;1.8669
27/07/2022 15:54;65.90002;66.03493;470.60364;471.80334;213.02324;213.31306;457.3544245;12.22642;1.340563982;1.61123;1.04278
27/07/2022 16:00;66.03889;66.21625;468.58963;469.62173;213.10884;213.39845;455.9445649;12.23139;1.4013829;1.55925;1.21533
27/07/2022 16:06;65.47475;65.65937;468.95111;470.03726;213.02324;213.31306;454.1305808;12.23388;1.627512126;1.55925;1.66292
27/07/2022 16:12;65.86531;66.02199;470.96512;472.58252;213.02324;213.35576;457.8145307;12.21522;1.250884973;1.50728;0.96921
27/07/2022 16:18;66.13436;66.26804;470.19049;471.18002;213.06604;213.35576;457.76885;12.22828;1.598682804;1.61123;1.55393
27/07/2022 16:24;65.70909;65.85363;471.79135;472.84222;213.06604;213.35576;457.7027687;12.23699;1.364722041;1.55925;1.14267
27/07/2022 16:30;65.80456;65.94428;470.4487;471.90723;213.06604;213.39845;456.964424;12.23326;1.729273617;1.50728;1.91652
27/07/2022 16:36;66.16908;66.31985;469.57083;470.34894;213.10884;213.39845;457.2330835;12.22642;1.301745439;1.55925;1.01804
27/07/2022 16:42;65.80456;65.95723;471.27496;472.32281;213.06604;213.39845;457.5919793;12.21646;1.29009939;1.61123;0.94295
27/07/2022 16:48;65.44003;65.65937;471.68808;472.79028;213.15163;213.48381;456.7177157;12.21336;1.122452929;1.55925;0.6631
27/07/2022 16:54;65.98682;66.15149;472.61765;474.03693;213.36563;213.65454;459.8172085;12.22704;2.007820166;1.61123;2.36474
27/07/2022 17:00;65.5789;65.72412;478.91782;480.37405;213.57961;213.86797;464.2869694;12.24197;1.904108945;1.55925;2.21182
27/07/2022 17:06;65.12759;65.27085;477.31696;478.71185;213.5368;213.86797;460.9116135;12.23139;1.098360267;1.4553;0.71986
27/07/2022 17:12;65.68305;65.84068;478.45303;479.54294;213.57961;213.86797;464.0995587;12.21833;1.76086782;1.4553;2.03208
27/07/2022 17:18;65.88267;66.04789;476.49069;477.62106;213.62241;213.91064;463.0261505;12.21958;1.268299539;1.55925;0.95258
27/07/2022 17:24;65.04948;65.21905;480.77689;482.19208;213.70799;214.03871;463.9982371;12.23762;1.543612357;1.61123;1.44609
27/07/2022 17:30;65.13627;65.32265;480.88019;482.6076;213.66521;213.99602;464.6288264;12.21584;1.484387074;1.61123;1.3287
27/07/2022 17:36;65.70042;65.85363;481.75809;482.97122;213.87918;214.20944;467.4224102;12.21336;1.778585201;1.50728;2.01586
