Data_Hora,LBA10CP001,LBA10CP951A,LBA10CF001A,LBA10CF001B,LAB60CT002,LAB60CT003,LBA10CF901,JEA10CL901,LAB60CF901,LAB60CF001A
26/09/2018 00:34,66.31662,66.65656,536.60071,536.99255,217.66675,217.92293,0,12.23637,527.28705,527.28705
26/09/2018 00:34,66.27323,66.59181,534.17358,535.4342,217.70953,217.96564,0,12.23824,523.54486,523.54486
26/09/2018 00:35,66.34266,66.65656,537.2204,537.66779,217.70953,218.00832,0,12.23513,521.56982,521.56982
26/09/2018 00:35,66.29926,66.65656,536.08429,536.78479,217.68814,217.96564,0,12.23326,520.47833,520.47833
26/09/2018 00:35,66.27323,66.59181,537.47858,538.60278,217.68814,217.96564,0,12.23513,520.94611,520.94611
26/09/2018 00:35,66.34266,66.60476,538.71796,539.07025,217.68814,217.96564,0,12.22891,519.17896,519.17896
26/09/2018 00:35,66.33398,66.66951,536.29089,536.99255,217.70953,217.96564,0,12.23139,524.16858,524.16858
26/09/2018 00:35,66.3687,66.66951,538.04669,538.13531,217.68814,217.96564,0,12.22642,524.94818,524.94818
26/09/2018 00:36,66.26455,66.61771,535.98102,536.52502,217.68814,217.96564,0,12.23264,520.84216,520.84216
26/09/2018 00:36,66.25587,66.68246,535.6712,536.26532,217.68814,217.96564,0,12.22331,528.22266,528.22266
26/09/2018 00:36,66.28191,66.63066,533.96704,534.91479,217.70953,217.96564,0,12.22953,522.76526,522.76526
26/09/2018 00:36,66.30795,66.64362,537.32367,537.97949,217.64534,217.96564,0,12.22891,521.258,521.258
26/09/2018 00:36,66.28191,66.63066,536.65234,537.77167,217.66675,217.96564,0,12.23513,522.8692,522.8692
26/09/2018 00:36,66.3253,66.66951,536.80731,537.51196,217.64534,217.92293,0,12.23388,527.44299,527.44299
26/09/2018 00:37,66.28191,66.64362,534.99988,535.84979,217.64534,217.96564,0,12.22331,516.42426,516.42426
26/09/2018 00:37,66.27323,66.63066,538.04669,538.34308,217.64534,217.96564,0,12.23139,515.90454,515.90454
26/09/2018 00:37,66.28191,66.63066,534.12195,535.48615,217.66675,217.96564,0,12.21895,520.47833,520.47833
26/09/2018 00:37,66.28191,66.63066,536.39417,537.20032,217.66675,217.96564,0,12.22331,522.08954,522.08954
26/09/2018 00:37,66.22984,66.61771,536.75562,537.20032,217.66675,217.96564,0,12.22082,528.01471,528.01471
26/09/2018 00:37,66.21248,66.64362,538.76965,539.12219,217.66675,217.96564,0,12.22144,525.31201,525.31201
26/09/2018 00:38,66.22115,66.63066,535.36133,536.1095,217.64534,217.96564,0,12.22144,526.4035,526.4035
26/09/2018 00:38,66.23851,66.66951,534.01868,535.12256,217.70953,217.96564,0,12.21087,524.27252,524.27252
26/09/2018 00:38,66.23851,66.63066,536.49744,536.94061,217.64534,217.96564,0,12.22082,524.01263,524.01263
26/09/2018 00:38,66.29059,66.63066,535.56787,536.57697,217.68814,217.96564,0,12.21958,517.98352,517.98352
26/09/2018 00:38,66.26455,66.61771,536.70398,537.71973,217.68814,217.96564,0,12.21646,517.98352,517.98352
